PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
3,C0009443,Common Cold,C0232431,Cold sweat,https://connect.mayoclinic.org/discussion/horrible-hives/,Horrible Hives,"Hello! iv had hives since the beginning of last December and they are absolutly MISSiRABLE!!! Iv been to my regular doc she had given me a steroid shot and pill thought i was allergic to something and had referred me to an immulologist. Later that evening my hives got worse so i just went to the hospital to get it checked out but that was pointless and waste of money i was told the same thing and the doc had given me another steroid shot which i had told her didnt help earlier that day which is why i was there. I ended up never sleeping at night having hot/cold sweats taking alot of antihistamines that felt like forever. Did end up getting an appointment with an immulologist and skin test came out that i wasnt allergic to anything, and blood work was normal. Now iam taking 2 180mg tablets of Allegra,Montelukast SOD, Ranitidine all TWICE a day and if i skip or if im late on a dose i start getting the hives really bad. Iam going to see an Indocrinologist early next week also. I wish i could figure this out!! I cant stand it anymore just wondering if it is caused by an underlying disease? .Thanks for reading any suggestions will help! Follow Report"
3,C0042109,Urticaria,C0232431,Cold sweat,https://connect.mayoclinic.org/discussion/horrible-hives/,Horrible Hives,"Hello! iv had hives since the beginning of last December and they are absolutly MISSiRABLE!!! Iv been to my regular doc she had given me a steroid shot and pill thought i was allergic to something and had referred me to an immulologist. Later that evening my hives got worse so i just went to the hospital to get it checked out but that was pointless and waste of money i was told the same thing and the doc had given me another steroid shot which i had told her didnt help earlier that day which is why i was there. I ended up never sleeping at night having hot/cold sweats taking alot of antihistamines that felt like forever. Did end up getting an appointment with an immulologist and skin test came out that i wasnt allergic to anything, and blood work was normal. Now iam taking 2 180mg tablets of Allegra,Montelukast SOD, Ranitidine all TWICE a day and if i skip or if im late on a dose i start getting the hives really bad. Iam going to see an Indocrinologist early next week also. I wish i could figure this out!! I cant stand it anymore just wondering if it is caused by an underlying disease? .Thanks for reading any suggestions will help! Follow Report"
6,C0041912,Upper Respiratory Infections,"C0085624, C0581297","Burning sensation, lump on head",https://connect.mayoclinic.org/discussion/sweat-that-is-ruining-my-lifehelp/,Sweat that is ruining my life(Help),"Hi everyone, I would like to apologize in advance for such a lengthy post but to start off,Im 18 years old 511 175 lbs male and this past year Ive been dealing with excessive sweating usually from the armpit and inside the buttcrack area. It didnt bother me that much until On October 24, I started having this burning/heat sensation on the upper buttcrack part or i would say my tailbone area. That area would sweat so much and Ive observed the sweat occurs when I walk outside,run do any physical activity and also during urination. After Im done urinating, I would feel the sweat coming out of that tailbone area. Ever since october my sweat overall has become alot worse. My armpits would sweat even in the cold and that heat sensation Ive been feeling in my tailbone, i have also started feeling it in between my groin area. It would also sweat there when i walk. This between the groin area sweat started probably on Nov 24. These excessive sweating symptoms have made me so anxious and depressed. I cant even wear anything but black and white shirts and basketball shorts or people will notice the sweat has seeping in my clothes. Additionally, I think this may be related but at the beginning of the year probably late February. My testicle area on the left started feeling pain. Then one day, I peed myself while in class without even realizing it. Good thing no one else noticed and i quickly changed my pants. So I went to the doctors and said everything was fine. I think they x rayed the lower back area and found no issues. Then all hell wouldnt stop as the following months later I felt a small not growing lump on my neck which the doctor thinks is a lymph node. And now its November and during the 16th, I noticed two hard lumps on the back of my head but I think it might be because i had a bad cold but I have had it. Im visiting the doctors tomorrow to consult about my excessive sweat and if any of these may be related to it. I didnt even excessively sweat last year only this year when all of these happened. I dont know if I should see a neurologist,urologist,dermatologist or get a biopsy. What makes me so scared is what if this is lymphoma, a type of cancer, an infection or anything uncurable What if my excessive sweating on the tailbone and pretty much my body swear will never be cured. All these make me so scared. Makes me sad how all those people my age are enjoying life while I suffer these delibirating symptoms. Does anyone have any idea what this tailbone,groin and armpit sweat could possibly be? (I know its hyperhidrosis but could it be from another cause) Follow Report"
9,C0013595,Eczema,C1579931,Depressed - symptom,https://connect.mayoclinic.org/discussion/episodes-of-itchy-blistery-looking-bumps-on-the-backs-of-my-knuckles/,"Episodes of itchy, blistery-looking bumps on the backs of my knuckles","This is an on-going case of flareups of viciously itchy, blistery-looking bumps on the backs of my hands, particularly the knuckles, which has never gone completely away. I've had it for a long time, and it flares up in episodes. I've recently had severe flare-ups, so it seems to be getting worse. I have clobetasol propionate cream which helps and takes about five days to two weeks to get it under control. The bumps look like blisters, but are solid inside  no fluid. They are pretty much only on my knuckles, on the back and sides of my fingers. My dermatologist thought it might be caused by soap, but I've tried all sorts of soaps and I'm no longer convinced soap is the culprit. I think it may be a symptom of something internal (viral?). I want to know what this stuff is, and if we can eradicate it. It is miserable, itches like poison oak. So far it has not spread to any other places but the backs of my hands, primarily the right one. My PA, based solely on the attached photographs and description (not an exam) thought it might be dishydrotic eczema, but I am getting referred back to another dermatologist (I requested a different one from the one I saw before). I want this gone. It is torturous. Added: When this subsides, the skin dries and peels off of where the blister-looking places were. Follow Report"
27,C0750466,Yeast infection,C2926602,"Discharge, body substance",https://connect.mayoclinic.org/discussion/yeast-infection-help/,Yeast infection help,"Hey three days ago I had signs of a yeast infection and I went to the doctor; he prescribed cephalexin and ketoconazole both of which Im suppose to take/use three times a day. My questions are, the antibiotics are for what exactly as from my research they dont really positively effect yeast infections and also on applying the ketoconazole I notice that after washing off any discharge and drying it off, when I apply the anti fungal, that minutes later it will start having a clear discharge which turns into a mucus white transparent discharge hours later, is that ok/normal as I know keeping the area dry is important? -Im uncircumcised and the area is my foreskin/side on penis glans. Thanks. Follow Report"
28,C4554344,IgE-mediated food allergy,"C0221423, C0013604, C0221232","Illness (finding), Edema, Welts",https://connect.mayoclinic.org/discussion/i-need-help-1/,I need help,Okay so I got sick in January 2005 I have been sick ever since I have hives everyday as fine some days and some days I have hives and swelling I have really bad breakout some days and not so bad other days but everyday I have hives if you give me steroids or antihistamines it makes it worse Ive been all over the state of Missouri Ive had ever blood test under the sun right now I think and nobody can figure it out I just want to know if anybody knows any kind of rare disease or any other possibility that somebody knows something out there that could help me I have now been doing this for 14 years and have no more answers today than I had the day it started and his all over my body theres no Rhyme or Reason Im not allergic to any food Ive had food allergy test done thats all Ive loved her keeps coming back normal so if anybody knows anything it would be great to know so if you could help me at all that would be awesome thank you Liked by Leonard Follow Report
28,C0678236,Rare Diseases,"C0221423, C0013604, C0221232","Illness (finding), Edema, Welts",https://connect.mayoclinic.org/discussion/i-need-help-1/,I need help,Okay so I got sick in January 2005 I have been sick ever since I have hives everyday as fine some days and some days I have hives and swelling I have really bad breakout some days and not so bad other days but everyday I have hives if you give me steroids or antihistamines it makes it worse Ive been all over the state of Missouri Ive had ever blood test under the sun right now I think and nobody can figure it out I just want to know if anybody knows any kind of rare disease or any other possibility that somebody knows something out there that could help me I have now been doing this for 14 years and have no more answers today than I had the day it started and his all over my body theres no Rhyme or Reason Im not allergic to any food Ive had food allergy test done thats all Ive loved her keeps coming back normal so if anybody knows anything it would be great to know so if you could help me at all that would be awesome thank you Liked by Leonard Follow Report
28,C0042109,Urticaria,"C0221423, C0013604, C0221232","Illness (finding), Edema, Welts",https://connect.mayoclinic.org/discussion/i-need-help-1/,I need help,Okay so I got sick in January 2005 I have been sick ever since I have hives everyday as fine some days and some days I have hives and swelling I have really bad breakout some days and not so bad other days but everyday I have hives if you give me steroids or antihistamines it makes it worse Ive been all over the state of Missouri Ive had ever blood test under the sun right now I think and nobody can figure it out I just want to know if anybody knows any kind of rare disease or any other possibility that somebody knows something out there that could help me I have now been doing this for 14 years and have no more answers today than I had the day it started and his all over my body theres no Rhyme or Reason Im not allergic to any food Ive had food allergy test done thats all Ive loved her keeps coming back normal so if anybody knows anything it would be great to know so if you could help me at all that would be awesome thank you Liked by Leonard Follow Report
36,C0042109,Urticaria,"C0015230, C0857057","Exanthema, blotchy",https://connect.mayoclinic.org/discussion/hives-at-night/,Hives at night,"For the past five nights, including tonight, I have been experiencing a reaction of some sort. I assume that they are hives. The weird thing is that it only happens, well 95% of the time, the breakout starts in the evening. I know it's not from a bite or something because they are in different spots each night I have had an allergy test ..that was done a few years back and it came back negative. Not allergic to anything. I know that can change, but I just find it odd that this only happens at night. During the day, I am fine just anxious know what's to come after sundown. Another thing I noticed is that they are usually in straight lines.. not always, sometimes they are blotchy but a lot of the time they are in lines. I have taken benadryl every night for the past few nights didn't work. Tonight I got a little bit of relief but I can already feel my body getting itchy. Hydrocortisone creams do nothing. I think I just apply them for piece of mind. I called my primary's after hours answering service and spoke with my doc. I have an appt with her in the morning and she is going to do bloodwork and give me steroid shots, but I just wanted to see if anyone else has experienced anything like this before or know someone who has. They usually last for the night. When I can finally get myself to sleep at night.. in the morning i am fine. They dont leave any markings or anything. They are just red and raised and extremely itchy. Any input will help. Thanks in advance. Follow Report"
37,C0004364,Autoimmune Diseases,C0040822,Tremor,https://connect.mayoclinic.org/discussion/body-itching/,Body itching,"Ive had almost unbearable itching for over 3 months. Was prescribed hydroxyzine, but it doesnt seem to help. It started when I was in the ER having a very frightening allergic reaction. I was given an epinephrine iv, and a breathing treatment. My legs started to shake uncontrollably. Then I couldnt breathe, was given an injection of something at that point. Im taking benadryl and paxil but dont know how much longer I can deal with this. Liked by John, Volunteer Mentor, lioness, jeanne5009, Brightwings AKA Cute Susie ... see all Follow Report"
