PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
13,C4522181,Brachial Amyotrophic Diplegia,"C0557875, C0917801","Tired, Sleeplessness",https://patient.info/forums/discuss/trazodone-withdrawal-720985,Trazodone Withdrawal,"Hi - I have been through a series of meds before the latest round of Trazodone 250mg and Remeron 30 mg. I am slowly titrating off of Trazodone (down to 200mg) because I was tired of hearing myself complain that the regimen wasn't helping much(I got a little more sleep 5-6 hrs, but no slight boost w/  and  .) The meds were prescribed for a bad bout with anxiety/insomnia which tripped into depression.  I feel pretty bad, hard to concentrate, less sleep, spacey, depressed. I don't have much energy to improve my life. I  want to hide, but uncomfortable not knowing what to do with myself which makes everything worse. I want to feel good again! Any experience or thoughts to share to get better? 0 likes, 0 replies "
15,C0026393,Molluscum Contagiosum,C0231617,Catch - Finding of sensory dimension of pain,https://patient.info/forums/discuss/has-anyone-contracted-molloscum-after-i-touching-episode--717925,Has anyone contracted molloscum after I “touching” episode?,"I've suffered with this never ending crappy disease for five months  now and thought I had it knocked back to a hidden small area. So, I participated in one episode of oral sex, and brief touching, with my new boyfriend before discovering a few tiny molloscum bumps where he had  touched me. ARGGHHH!! Do you guys think he'll catch it from this one encounter?!? MAN I HOPE NOT! 0 likes, 4 replies "
16,C0678356,alcohol effect,"C0016382, C0917801","Flushing, Sleeplessness",https://patient.info/forums/discuss/alcohol-intolerance-724608,Alcohol Intolerance,"A few years ago I was prescribed Trazodone for insomnia. It didn't help. I did however develop an extreme intolerance to alchohol.  I don't just mean it exaggerated the effects of alcohol. I had almost an allergic reaction to even very small amounts. I became flushed red like a cooked lobster. The intolerance disappeared a few months after I stopped the Traz.  I can find no reports of this side effect and I just wondered out of interest whether anyone here has experienced this. 0 likes, 2 replies "
17,C0423086,Staring,"C0221423, C0011991, C0012833, C0018681","Illness (finding), Diarrhea, Dizziness, Headache",https://patient.info/forums/discuss/50-mg-of-trazadone-and-headaches-599842,50 mg of Trazadone and Headaches,"I was prescribed 50 mg of Trazadone for Depression / anxiety on the 26th of June, since staring taking this dose I have noticed I am getting bad headaches that make me feel sick, blurred vision, sweating, dizziness and diarrhoea,  I spoke to my psychiatrist about the symptoms I am getting and she told me Not to take tonight's dose and she will contact me tomorrow.  I want to come off these tablets and I wanted to know if anyone else had these problems and how long after coming off did they stop?  0 likes, 32 replies "
17,C4522181,Brachial Amyotrophic Diplegia,"C0221423, C0011991, C0012833, C0018681","Illness (finding), Diarrhea, Dizziness, Headache",https://patient.info/forums/discuss/50-mg-of-trazadone-and-headaches-599842,50 mg of Trazadone and Headaches,"I was prescribed 50 mg of Trazadone for Depression / anxiety on the 26th of June, since staring taking this dose I have noticed I am getting bad headaches that make me feel sick, blurred vision, sweating, dizziness and diarrhoea,  I spoke to my psychiatrist about the symptoms I am getting and she told me Not to take tonight's dose and she will contact me tomorrow.  I want to come off these tablets and I wanted to know if anyone else had these problems and how long after coming off did they stop?  0 likes, 32 replies "
24,C0026393,Molluscum Contagiosum,"C0015230, C0231617, C0857130","Exanthema, Catch - Finding of sensory dimension of pain, itchy legs",https://patient.info/forums/discuss/not-sure-help--723573,Not sure? Help!,"I caught mollescum from an ex partner about 10 years ago - I noticed it started from a red itchy bump on my arm, then I had 3 typically mollescum spots in my genital area. These healed within a year or two - ever since I've (only ever in winter months) had itchy dry tops of my hands in winter and they are covered in bumps but they don't look like typically like mollescum (they are in clusters though) and they tend to flare up and get better, not constant. I also get a few itchy red spots on my legs in different places sometimes but these don't look like mollescum - I'm wondering if   as I know this can look similar but I am a bit concerned. I'm just wondering if anyone has experienced symptoms of this for 10 years or more? It just seems to me that mollescum would be continuous with bumps in the same area like the ones I had to begin with that eventually healed? Basically I don't have these all the time, both the spots on my hands and legs come and go - I've managed to make a Dr app to actually go get it checked as its easy to put to the back of my mind because it flares up and goes again. any thoughts welcome! 0 likes, 0 replies "
25,C0026393,Molluscum Contagiosum,C0028084,Nightmares,https://patient.info/forums/discuss/mc-on-5-year-old-conzerol-is-this-normal--729727,MC on 5 year old - Conzerol - is this normal?!,"Hello- my 5 year old has had MC for about 4 months. It started as a few tiny bumps on her stomach, and I didn't think much of them. Everything I read said to just leave them alone and let them go away on their own, so I tried to be patient. After month 3, with no improvement, and now about 15-20 bumps, I decided to dig deeper and try to find a way to get rid of these before they spread even more. I found Conzerol online, and read tons of glowing reviews, so we decided to try it.  We started it over 2 weeks ago, and my daughter now has huge scabs on her stomach (see photos). About a week after starting the Conzerol, her MC spread into what looked like huge clusters of bumps, and now (17 days in) they are really big scabs that look just awful! I included the following photos: Day 3 on Conzerol (bumps turning red) Day 10 - spreading into clusters of bumps Day 17 - today- huge scabs Has anyone had this experience with Conzerol? From what I've read, scabs are a good thing, and it means they are healing... but after searching through tons of photos online, I can't find any with scabs quite this big. I guess I just need some peace of mind that this is normal, and not causing any  harm to my daughter. Also, should I be putting anything else on these scabs? Like tea tree oil? Aquaphor? Anything? I've been giving her baths every other day, but don't want to scrub these too hard because I don't want them to bleed and spread more. Please send any tips my way. This has been such a nightmare. Thank you!!! 0 likes, 3 replies "
27,C0026393,Molluscum Contagiosum,C0015230,Exanthema,https://patient.info/forums/discuss/i-ve-been-scared-the-last-two-weeks-when-these-came-out-of-no-where-what-could-it-be--729859,I’ve been scared  the last two weeks when these came out of no where what could it be ????,"**** when i masturbate for a long time that red rash starts to appear could it be just be the friction burn cause it goes away after two days 0 likes, 1 reply "
29,C0263492,Pili incarnati (disorder),"C0015230, C0030193","Exanthema, Pain",https://patient.info/forums/discuss/is-this-molluscum-please-help--729404,Is this molluscum? Please help!! :(,"Hi everyone! i have this spots for about two weeks, thought it was ingrown hair but im fricking out and just read about molluscum, i think it looks like it, what do you think?  i have no symptoms, no   or pain, ive noticed about em while having a shower... please answer 😦 (im sorry about the hair, im scared of shaving right now) Uploading file... 0 likes, 4 replies "
30,C0016436,Folliculitis,"C0231218, C0683369","Malaise, Clouded consciousness",https://patient.info/forums/discuss/possible-molluscum-contagiosum--730419,Possible Molluscum Contagiosum?,"I have noticed a few bumps when I shaved around 2-3 weeks ago, I became very concerned because I have never had anything similar. So I decided to visit a sexual health clinic, the nurse confirmed that it was just folliculitis or blocked glands. I was not so sure about the diagnosis, so I booked an appointment with my GP and I was told the same thing, almost instantly. I even asked if they might be molluscum, but they denied it to be the case. Still wasn’t convinced as they didn’t look normal, and they didn’t offer any further explanation. I booked with a different doctor an appointment, the doctor told me they suspect it to be molluscum, and didn’t offer any treatment option. The doctor even told me to go on with my sex life as per-usual, which confused me a lot as I know MC is contagious. So I am not sure what to do anymore, my next step is to see a dermatologist, but I’ll be put on a waiting list of six months (UK healthcare). I’ll be more than happy to receive any opinions/tips on what they might be and what I should do next. Thanks! 0 likes, 5 replies "
