PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
1,C0019340,herpes,"C0012833, C0018681","Dizziness, Headache",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/11255/std-herpes-concern,Std/herpes concern,"Hello, I made a huge mistake 2 days ago. I was at a strip club and Recived oral sex from a stripper in the VIP room. I'm married, and i'm scared i may have brought something home.  We used a condom, I think she held it to the base with her hand and i don't think her mouth actually touched my skin. But i was drunk so i can't confrim this. The whole act lasted less then 3mins. I removed the condom myself with a baby wipe. 48 hours later I have dizziness and a headache that's persisted for 5or more hours. I guess the main thing i'm afraid of is herpes, because it can't be cured. My wife and I have been monogous for well over 15 years so I don't think anything from the past can flare up. I know I messed up badly and I have to live with that. Can you give me any advice or realistic risks that i should be worried about in the described encounter? Thanks Mike"
2,C0018799,Heart Diseases,C0476270,Cardiovascular symptoms,https://messageboards.webmd.com/health-conditions/f/heart-health/37021/afib-and-over-sleeping,Afib and over sleeping,My mom recently had a pacemaker defibrillator device implanted. She is having a tough time recovering and after some family trauma was shocked several times within a week. She has seen her doctor and has not had another shock in 2 weeks. My question is this.. she is sleeping 11-14 hrs a day. Is this a symptom of her heart disease or should we be concerned?
3,C0041912,Upper Respiratory Infections,"C0008031, C0541828, C0030193","Chest Pain, Left sided chest pain, Pain",https://messageboards.webmd.com/health-conditions/f/heart-health/37239/weird-chest-pains,Weird chest pains,"Hey so I am 15 years old and male and about a month ago i started to experience these weird chest pains. nothing unbearably painful, just enough pain for it to be annoying. I live in a colder climate and have had this pain in the left side of my chest that tends to creep up more when i’m outside. it comes and goes, but lately, it’s been more frequent (20+ times a day). it usually only lasts a few seconds and then i’m fine. but my hands are constantly a purple color and very cold. i’ve tried using hand warmers for a solid hour with no change. any ideas as to what this might be and how could i get rid of it? thinking maybe something cardiovascular wise? i also had a blood pressure of 80/40 if this helps."
5,C0027051,Myocardial Infarction,"C0036572, C0278146, C0278145, C0028643, C0234238, C0232290, C0795691, C0235710, C0030193","Seizures, Shooting pain, Stabbing pain, Numbness, Ache, Crushing chest pain, HEART PROBLEM, Chest discomfort, Pain",https://messageboards.webmd.com/health-conditions/f/heart-health/34868/do-i-have-a-heart-problem,Do I have a heart problem?,"Hi everyone I could really use some advice. I appreciate this isn't directly related to a heart attack, but I'm worried about one.  Bit of background, I'm 21, male, I'm not overweight but I'm not particularly fit and my blood pressure is slightly raised at 135/90. I do have a family history of coronary heart disease on both sides.  18 months ago, I was taken into A&E with discomfort in my chest, a sort of pressure with an occasional shooting pain, my ECG was apparently ever so slightly 'abnormal, bloods showed slightly raised protein levels, I was diagnosed with pericarditis (hmm) and sent home to rest. Nothing changed. To try and cut a long story short, ever since then my life has been a living hell and the pain has gotten worse, more frequent and more widespread. Now, I get a crushing pain in my left chest with the occasional stabbing pain, I get numbness in my jaw, and I get this awful ache in my left arm only. Also get quite heavy palpitations Exercise definitely triggers the pain and palpitations. over the last 18 months, I've seen several family doctors and one cardiologist. I've had 8 ECGs, one abnormal, seven normal, I've had several blood tests, one abnormal, the rest normal, I've had an echocardiogram which was normal, an ECG stress test which was normal, and a CT angiogram scan which was normal, cardiology discharged me a few months ago. Unfortunately I've now been branded with the anxiety label by numerous doctors, I now can't see anyone without being asked ""so do you think this is being caused by your anxiety?"", I've never had a history of anxiety or depression or anything like that. im at my wits end, and could just really use some advice. Have these tests ruled out a heart problem?"
5,C0031046,Pericarditis,"C0036572, C0278146, C0278145, C0028643, C0234238, C0232290, C0795691, C0235710, C0030193","Seizures, Shooting pain, Stabbing pain, Numbness, Ache, Crushing chest pain, HEART PROBLEM, Chest discomfort, Pain",https://messageboards.webmd.com/health-conditions/f/heart-health/34868/do-i-have-a-heart-problem,Do I have a heart problem?,"Hi everyone I could really use some advice. I appreciate this isn't directly related to a heart attack, but I'm worried about one.  Bit of background, I'm 21, male, I'm not overweight but I'm not particularly fit and my blood pressure is slightly raised at 135/90. I do have a family history of coronary heart disease on both sides.  18 months ago, I was taken into A&E with discomfort in my chest, a sort of pressure with an occasional shooting pain, my ECG was apparently ever so slightly 'abnormal, bloods showed slightly raised protein levels, I was diagnosed with pericarditis (hmm) and sent home to rest. Nothing changed. To try and cut a long story short, ever since then my life has been a living hell and the pain has gotten worse, more frequent and more widespread. Now, I get a crushing pain in my left chest with the occasional stabbing pain, I get numbness in my jaw, and I get this awful ache in my left arm only. Also get quite heavy palpitations Exercise definitely triggers the pain and palpitations. over the last 18 months, I've seen several family doctors and one cardiologist. I've had 8 ECGs, one abnormal, seven normal, I've had several blood tests, one abnormal, the rest normal, I've had an echocardiogram which was normal, an ECG stress test which was normal, and a CT angiogram scan which was normal, cardiology discharged me a few months ago. Unfortunately I've now been branded with the anxiety label by numerous doctors, I now can't see anyone without being asked ""so do you think this is being caused by your anxiety?"", I've never had a history of anxiety or depression or anything like that. im at my wits end, and could just really use some advice. Have these tests ruled out a heart problem?"
9,C0036916,Sexually Transmitted Diseases,"C1260880, C2926602","Rhinorrhea, Discharge, body substance",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19125/paragard-iud-and-discharge,Paragard IUD and discharge,"Hi all! I got my Paragard IUD in the middle of June while I had my period. The days before I got my next period pos-insertion my discharge was yellowish and kinda thick and then turned light brown to then dark brown and finally my period came. I am now due for my next period at the end of next week and I notice that I am having a thick discharge, thats clear, white and yellow- and almost reminds me of mucus or thick nasal discharge. I know that with Paragard increases and changes in discharge can be normal, but does mine seem ok? It does not have a foul odor and I really do not have any itching. Thanks in advance!"
10,C0010709,Cyst,"C0036572, C0015672","Seizures, Fatigue",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/18879/low-testosterone-in-women,Low Testosterone in Women,"I am 37, had one ovary removed because of a cyst and my tubes tied after 2 successful pregnancies. The past year and a half (after my second child) I have been battling mood swings, lack of conviction to get things done, tired all the time, heavy periods, and can not lose weight at all. For years before that, I have no (and I mean none) sex drive and when my husband and I are together it hurts badly (even after lubes) Two OBs have told me that it's just post-partem and then I recently found out that I have very low testosterone. My dr said normal levels for women are between 8 and 60 and that I am below 7, but she said that testosterone replacement isn't the healthiest for my heart and liver and she can't seem to find anything detrimental to my health because of the low levels. I can deal with my moodiness, periods, and even my weight, but my husband is understandable not thrilled that my libido may never increase so that we can have any semblance of a sex life. Can I be pre-menopausal or is it only my testosterone....and if it is only that, why would it happen? My OBs have never even mentioned pre-menopause, but researching it on here, it seems to fit (as well as the low testosterone levels). Is there anything I can do about my symptoms? At least the sex thing? I keep hitting dead ends and unconcerned doctors so I figured I'd take a shot on here because this is frustrating! :-("
11,C0036916,Sexually Transmitted Diseases,"C0007939, C0392171","Syphilitic chancre, Influenza-like symptoms",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19131/questions-about-treatment-for-syphilis,Questions about treatment for syphilis,"Hi, I gave oral sex to a friend who had a rectal chancre from syhpilis (he didn't know it was a chancre at the time, he thought it was an ulcer). Right after he tested positive for syhpilis (less than two weeks after I gave him oral sex), he let me know so I would get treated. I went to the STI clinic and they gave me a shot of penicilin. The nurse and I both think that it's likely that I did not get infected, as I was not in direct contact with my friend's chancre (I never even touched his butt, just his penis). Furthermore, my friend got flu-like symptoms under an hour after his penicilin shot because it was killing all the bacteria. It's been over three hours since I was injected and I don't have any side effects so far. My first question is: is it unsafe to have been injected with penicilin if I wasn't even infected? We may never know if I was or not, but it sounds like a pretty strong medicine, so that's why I'm wondering. My second question: my friend was told not to have sex for 7 days after he got injected. My nurse didn't tell me that but I will abstain anyway. Just wondering if I can masturbate, or should I abstain from that as well? Thank you!"
13,C0730321,Punctate inner choroidopathy,"C0015230, C0030193","Exanthema, Pain",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19271/small-pink-dots-on-my-penis,Small pink dots on my penis,"Hi, after 2 years last Tuesday(08/01) I had unprotected sex with someone. Just a vaginal intercourse, no oral. After the sex, I washed my area with disinfectant thoroughly with lukewarm water. Since 2 days I am noticing small pinkish spots on my penis(inner part). I have been doing some online research, no pain, no itching, no bumps or whatsoever. I don't know if those are after the sex or I had them before(as I never paid attention). Now that I have discovered, I am worried. I have attached pics. I will be visiting physician, but I would like to have a second opinion as well. Please help."
15,C0036916,Sexually Transmitted Diseases,C2364135,Discomfort,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19395/testicle-discomfort,Testicle discomfort,Can I be contracted with a disease if I fingered a girl and masturbated right after(seconds later) with the same hand? It's been two days and I was wondering because I've been feeling discomfort in my right testicle
